[2025-07-28 15:56:37] [INFO] Starting Velociraptor Setup Scripts Release Pipeline
[2025-07-28 15:58:24] [WARNING] Issues found in New-VelociraptorConfigurationTemplate.ps1: 8
[2025-07-28 15:58:24] [WARNING] Issues found in Read-VelociraptorUserInput.ps1: 1
[2025-07-28 15:58:24] [WARNING] Issues found in Restore-VelociraptorConfiguration.ps1: 2
[2025-07-28 15:58:24] [WARNING] Issues found in Set-VelociraptorSecurityHardening.ps1: 3
[2025-07-28 15:58:24] [WARNING] Issues found in Start-AutomatedTroubleshooting.ps1: 76
[2025-07-28 15:58:24] [WARNING] Issues found in Start-PredictiveAnalytics.ps1: 61
[2025-07-28 15:58:24] [WARNING] Issues found in Test-VelociraptorAdminPrivileges.ps1: 8
[2025-07-28 15:58:24] [WARNING] Issues found in Test-VelociraptorConfiguration.ps1: 4
[2025-07-28 15:58:24] [WARNING] Issues found in Test-VelociraptorHealth.ps1: 7
[2025-07-28 15:58:24] [WARNING] Issues found in Test-VelociraptorInternetConnection.ps1: 3
[2025-07-28 15:58:24] [WARNING] Issues found in Write-VelociraptorLog.ps1: 7
[2025-07-28 15:58:24] [WARNING] Issues found in Build-IncidentResponsePackages.ps1: 22
[2025-07-28 15:58:24] [WARNING] Issues found in Build-VelociraptorArtifactPackage.ps1: 17
[2025-07-28 15:58:24] [WARNING] Issues found in Discover-VelociraptorRepos.ps1: 18
[2025-07-28 15:58:24] [WARNING] Issues found in Fork-VelociraptorEcosystem.ps1: 8
[2025-07-28 15:58:24] [WARNING] Issues found in Publish-Release.ps1: 63
[2025-07-28 15:58:24] [WARNING] Issues found in Quick-CodeFix.ps1: 22
[2025-07-28 15:58:24] [WARNING] Issues found in Release-Pipeline.ps1: 20
[2025-07-28 15:58:24] [WARNING] Issues found in Test-CodeQuality.ps1: 5
[2025-07-28 15:58:24] [WARNING] Issues found in Deploy-VelociraptorCluster.ps1: 54
[2025-07-28 15:58:24] [WARNING] Issues found in Deploy-VelociraptorEnvironment.ps1: 4
[2025-07-28 15:58:25] [WARNING] Issues found in Manage-VelociraptorConfig.ps1: 10
[2025-07-28 15:58:25] [WARNING] Issues found in Deploy-VelociraptorLinux.ps1: 50
